country;group;week;zscore
UK (Wales);Total;2021-46;1.62
UK (Wales);Total;2021-47;-0.66
UK (Wales);Total;2021-48;0.55
UK (Wales);Total;2021-49;1.28
UK (Wales);Total;2021-50;0.69
UK (Wales);Total;2021-51;1.98
UK (Wales);Total;2021-52;0.98
UK (Wales);Total;2022-01;1.51
UK (Wales);Total;2022-02;-0.66
UK (Wales);Total;2022-03;-2.28
UK (Wales);Total;2022-04;-1.76
UK (Wales);Total;2022-05;-1.95
UK (Wales);Total;2022-06;-2.57
UK (Wales);Total;2022-07;-2.47
UK (Wales);Total;2022-08;0.07
UK (Wales);Total;2022-09;-2.44
UK (Wales);Total;2022-10;-2.22
UK (Wales);Total;2022-11;-2.27
UK (Wales);Total;2022-12;-0.41
UK (Wales);Total;2022-13;-1.59
UK (Wales);Total;2022-14;0.66
UK (Wales);Total;2022-15;1.67
UK (Wales);Total;2022-16;-0.17
UK (Wales);Total;2022-17;0.01
UK (Wales);Total;2022-18;-0.5
UK (Wales);Total;2022-19;1.56
UK (Wales);Total;2022-20;-0.33
UK (Wales);Total;2022-21;-1.55
UK (Wales);Total;2022-22;0.13
UK (Wales);Total;2022-23;0.07
UK (Wales);Total;2022-24;1.05
UK (Wales);Total;2022-25;-0.45
UK (Wales);Total;2022-26;0.01
UK (Wales);Total;2022-27;1.11
UK (Wales);Total;2022-28;2.29
UK (Wales);Total;2022-29;3.57
UK (Wales);Total;2022-30;1.5
UK (Wales);Total;2022-31;1.69
UK (Wales);Total;2022-32;3.59
UK (Wales);Total;2022-33;2.13
UK (Wales);Total;2022-34;2.16
UK (Wales);Total;2022-35;0.29
UK (Wales);Total;2022-36;1.05
UK (Wales);Total;2022-37;0.38
UK (Wales);Total;2022-38;0.05
UK (Wales);Total;2022-39;1.28
UK (Wales);Total;2022-40;1.31
UK (Wales);Total;2022-41;0.74
UK (Wales);Total;2022-42;1.04
UK (Wales);Total;2022-43;1.11
UK (Wales);Total;2022-44;-0.63
UK (Wales);Total;2022-45;-0.48
UK (Wales);Total;2022-46;0.22
UK (Wales);Total;2022-47;-0.47
UK (Wales);Total;2022-48;-1.16
UK (Wales);Total;2022-49;1.36
UK (Wales);Total;2022-50;4.51
UK (Wales);Total;2022-51;3.73
UK (Wales);Total;2022-52;-4.32
UK (Wales);Total;2023-01;-6.72
UK (Scotland);Total;2017-03;1.11
UK (Scotland);Total;2017-04;1.74
UK (Scotland);Total;2017-05;3.52
UK (Scotland);Total;2017-06;1.4
UK (Scotland);Total;2017-07;2.31
UK (Scotland);Total;2017-08;0.77
UK (Scotland);Total;2017-09;1.57
UK (Scotland);Total;2017-10;0.79
UK (Scotland);Total;2017-11;1.16
UK (Scotland);Total;2017-12;-0.35
UK (Scotland);Total;2017-13;0.15
UK (Scotland);Total;2017-14;0.54
UK (Scotland);Total;2017-15;1.24
UK (Scotland);Total;2017-16;-0.2
UK (Scotland);Total;2017-17;1.11
UK (Scotland);Total;2017-18;0.95
UK (Scotland);Total;2017-19;1.65
UK (Scotland);Total;2017-20;0.52
UK (Scotland);Total;2017-21;0.88
UK (Scotland);Total;2017-22;0.63
UK (Scotland);Total;2017-23;0.89
UK (Scotland);Total;2017-24;0.46
UK (Scotland);Total;2017-25;-0.67
UK (Scotland);Total;2017-26;1.31
UK (Scotland);Total;2017-27;1.7
UK (Scotland);Total;2017-28;0.21
UK (Scotland);Total;2017-29;-1.22
UK (Scotland);Total;2017-30;0.05
UK (Scotland);Total;2017-31;0.2
UK (Scotland);Total;2017-32;-0.06
UK (Scotland);Total;2017-33;1.17
UK (Scotland);Total;2017-34;-0.37
UK (Scotland);Total;2017-35;-0.86
UK (Scotland);Total;2017-36;-0.56
UK (Scotland);Total;2017-37;-0.49
UK (Scotland);Total;2017-38;1.66
UK (Scotland);Total;2017-39;-0.79
UK (Scotland);Total;2017-40;0.91
UK (Scotland);Total;2017-41;1.97
UK (Scotland);Total;2017-42;-0.17
UK (Scotland);Total;2017-43;-0.68
UK (Scotland);Total;2017-44;0.44
UK (Scotland);Total;2017-45;0.16
UK (Scotland);Total;2017-46;1.57
UK (Scotland);Total;2017-47;1.84
UK (Scotland);Total;2017-48;1.27
UK (Scotland);Total;2017-49;4.02
UK (Scotland);Total;2017-50;5.03
UK (Scotland);Total;2017-51;4.84
UK (Scotland);Total;2017-52;9.77
UK (Scotland);Total;2018-01;10.57
UK (Scotland);Total;2018-02;9.53
UK (Scotland);Total;2018-03;7.53
UK (Scotland);Total;2018-04;5.12
UK (Scotland);Total;2018-05;2.16
UK (Scotland);Total;2018-06;2.6
UK (Scotland);Total;2018-07;1.89
UK (Scotland);Total;2018-08;1.75
UK (Scotland);Total;2018-09;3.24
UK (Scotland);Total;2018-10;1.58
UK (Scotland);Total;2018-11;1.9
UK (Scotland);Total;2018-12;-0.05
UK (Scotland);Total;2018-13;0.95
UK (Scotland);Total;2018-14;1.48
UK (Scotland);Total;2018-15;0.61
UK (Scotland);Total;2018-16;-1.06
UK (Scotland);Total;2018-17;-1.27
UK (Scotland);Total;2018-18;0.26
UK (Scotland);Total;2018-19;-1.81
UK (Scotland);Total;2018-20;-0.28
UK (Scotland);Total;2018-21;-0.33
UK (Scotland);Total;2018-22;0.47
UK (Scotland);Total;2018-23;-2.53
UK (Scotland);Total;2018-24;-1.35
UK (Scotland);Total;2018-25;0.2
UK (Scotland);Total;2018-26;0.25
UK (Scotland);Total;2018-27;0.75
UK (Scotland);Total;2018-28;-0.92
UK (Scotland);Total;2018-29;-1.86
UK (Scotland);Total;2018-30;-1.85
UK (Scotland);Total;2018-31;-1.89
UK (Scotland);Total;2018-32;-0.4
UK (Scotland);Total;2018-33;-1.61
UK (Scotland);Total;2018-34;-2.13
UK (Scotland);Total;2018-35;-2.21
UK (Scotland);Total;2018-36;-0.82
UK (Scotland);Total;2018-37;-0.9
UK (Scotland);Total;2018-38;-0.89
UK (Scotland);Total;2018-39;-0.89
UK (Scotland);Total;2018-40;-0.53
UK (Scotland);Total;2018-41;-0.1
UK (Scotland);Total;2018-42;-2.25
UK (Scotland);Total;2018-43;-0.42
UK (Scotland);Total;2018-44;0.35
UK (Scotland);Total;2018-45;0.21
UK (Scotland);Total;2018-46;-1.04
UK (Scotland);Total;2018-47;-2.07
UK (Scotland);Total;2018-48;0.25
UK (Scotland);Total;2018-49;-0.34
UK (Scotland);Total;2018-50;0.4
UK (Scotland);Total;2018-51;0.96
UK (Scotland);Total;2018-52;3.43
UK (Scotland);Total;2019-01;1.74
UK (Scotland);Total;2019-02;3.41
UK (Scotland);Total;2019-03;1.34
UK (Scotland);Total;2019-04;0.58
UK (Scotland);Total;2019-05;0.65
UK (Scotland);Total;2019-06;0.65
UK (Scotland);Total;2019-07;1.44
UK (Scotland);Total;2019-08;0.24
UK (Scotland);Total;2019-09;-0.71
UK (Scotland);Total;2019-10;-0.12
UK (Scotland);Total;2019-11;-0.69
UK (Scotland);Total;2019-12;-0.9
UK (Scotland);Total;2019-13;-2.27
UK (Scotland);Total;2019-14;-1.44
UK (Scotland);Total;2019-15;-1.79
UK (Scotland);Total;2019-16;-0.36
UK (Scotland);Total;2019-17;-0.35
UK (Scotland);Total;2019-18;-0.5
UK (Scotland);Total;2019-19;1.62
UK (Scotland);Total;2019-20;0.67
